id,City,State,Pin
1,Coimbatore,Tamil Nadu,641004
2,Coimbatore,Tamil Nadu,641006
3,Greater Thane,Maharashtra,400601
4,Greater Thane,Maharashtra,400602
5,Vadodara,Gujarat,390003
6,Vadodara,Gujarat,390007
7,Palwal,Haryana,121103
8,Hodal,Haryana,121107
9,Gurgaon,Haryana,122100
10,Tauru,Haryana,122107
11,Narnaul,Haryana,123021
12,Narnaul,Haryana,123023
13,Rewari,Haryana,123029
14,Rewari,Haryana,123034
15,Pataudi,Haryana,123035
16,Rewari,Haryana,123102
17,Rewari,Haryana,123103
18,Rewari,Haryana,123301
19,Rewari,Haryana,123302
20,Rewari,Haryana,123303
21,Rewari,Haryana,123411
22,Rewari,Haryana,123412
23,Rewari,Haryana,123501
24,Rohtak,Haryana,124022
25,Jhajjar,Haryana,124105
26,Charkhi Dadri,Haryana,124106
27,Jhajjar,Haryana,124107
28,Jhajjar,Haryana,124108
29,Jhajjar,Haryana,124109
30,Meham,Haryana,124111
31,Charkhi Dadri,Haryana,124142
32,Jhajjar,Haryana,124202
33,Rohtak,Haryana,124411
34,Rohtak,Haryana,124412
35,Bahadurgarh,Haryana,124501
36,Jhajjar,Haryana,124504
37,Bahadurgarh,Haryana,124506
38,Meham,Haryana,124513
39,Hisar,Haryana,125037
40,Jind,Haryana,125038
41,Hisar,Haryana,125047
42,Fatehabad,Haryana,125048
43,Fatehabad,Haryana,125050
44,Fatehabad,Haryana,125051
45,Hisar,Haryana,125052
46,Fatehabad,Haryana,125053
47,Fatehabad,Haryana,125058
48,Ellenabad,Haryana,125075
49,Mandi Dabwali,Haryana,125077
50,Mandi Dabwali,Haryana,125101
51,Ellenabad,Haryana,125102
52,Mandi Dabwali,Haryana,125104
53,Ratia,Haryana,125106
54,Sirsa,Haryana,125110
55,Fatehabad,Haryana,125111
56,Budha Khera,Haryana,125112
57,Budha Khera,Haryana,125113
58,Fatehabad,Haryana,125120
59,Hisar,Haryana,125121
60,Ratia,Haryana,125133
61,Mandi Dabwali,Haryana,125201
62,Safidon,Haryana,126112
63,Safidon,Haryana,126113
64,Budha Khera,Haryana,126152
65,Charkhi Dadri,Haryana,127026
66,Bhiwani,Haryana,127027
67,Loharu,Haryana,127029
68,Loharu,Haryana,127030
69,Bhiwani,Haryana,127031
70,Loharu,Haryana,127040
71,Rohtak,Haryana,127041
72,Charkhi Dadri,Haryana,127042
73,Hisar,Haryana,127045
74,Loharu,Haryana,127046
75,Bhiwani,Haryana,127114
76,Charkhi Dadri,Haryana,127306
77,Charkhi Dadri,Haryana,127307
78,Loharu,Haryana,127308
79,Bhiwani,Haryana,127309
80,Charkhi Dadri,Haryana,127310
81,Sonipat,Haryana,131023
82,Sonipat,Haryana,131039
83,Sonipat,Haryana,131101
84,Sonipat,Delhi,131103
85,Gohana,Haryana,131301
86,Gohana,Haryana,131302
87,Gohana,Haryana,131304
88,Gohana,Haryana,131306
89,Sonipat,Haryana,131402
90,Sonipat,Haryana,131403
91,Karnal,Haryana,132036
92,Safidon,Haryana,132039
93,Karnal,Haryana,132054
94,Panipat,Haryana,132101
95,Panipat,Haryana,132113
96,Kurukshetra,Haryana,132157
97,Ambala,Haryana,133021
98,Ambala,Haryana,133101
99,Ambala,Haryana,133102
100,Yamuna Nagar,Haryana,133103
101,Yamuna Nagar,Haryana,133202
102,Yamuna Nagar,Haryana,133206
103,Naraingarh,Haryana,134201
104,Naraingarh,Haryana,134202
105,Naraingarh,Haryana,134203
106,Naraingarh,Haryana,134205
107,Yamuna Nagar,Haryana,135102
108,Kaithal,Haryana,136020
109,Kaithal,Haryana,136021
110,Kaithal,Haryana,136030
111,Kaithal,Haryana,136034
112,Kaithal,Haryana,136042
113,Kaithal,Haryana,136043
114,Kaithal,Haryana,136117
115,Pehowa,Haryana,136128
116,Pehowa,Haryana,136129
117,Vadodara,Gujarat,390005
118,Kurukshetra,Haryana,136135
119,Rupnagar,Punjab,140102
120,Chandigarh,Chandigarh,140109
121,Rupnagar,Punjab,140111
122,Rupnagar,Punjab,140112
123,Anandpur Sahib,Punjab,140114
124,Anandpur Sahib,Punjab,140115
125,Anandpur Sahib,Punjab,140116
126,Anandpur Sahib,Punjab,140117
127,Anandpur Sahib,Punjab,140118
128,Anandpur Sahib,Punjab,140119
129,Anandpur Sahib,Punjab,140123
130,Anandpur Sahib,Punjab,140124
131,Anandpur Sahib,Punjab,140125
132,Anandpur Sahib,Punjab,140126
133,Anandpur Sahib,Punjab,140133
134,Sirhind-Fategarh,Punjab,140412
135,Dera Bassi,Punjab,140501
136,Rajpura,Punjab,140602
137,Sirhind-Fategarh,Punjab,140802
138,Ludhiana,Punjab,141103
139,Raikot,Punjab,141104
140,Raikot,Punjab,141105
141,Raikot,Punjab,141108
142,Ludhiana,Punjab,141113
143,Dehlon,Punjab,141117
144,Malerkotla,Punjab,141119
145,Raikot,Punjab,141202
146,Ludhiana,Punjab,141203
147,Raikot,Punjab,141205
148,Raikot,Punjab,141422
149,Mandi,Punjab,141801
150,Ludhiana,Punjab,142029
151,Bally,West Bengal,712235
152,Bally,West Bengal,712258
153,Raikot,Punjab,142034
154,Moga,Punjab,142038
155,Bhadaur,Punjab,142039
156,Moga,Punjab,142041
157,Zira,Punjab,142044
158,Kotkapura,Punjab,142049
159,Bhadaur,Punjab,142055
160,Amritsar,Punjab,143102
161,Amritsar,Punjab,143113
162,Batala,Punjab,143119
163,Amritsar,Punjab,143201
164,Kapurthala,Punjab,143204
165,Patti,Punjab,143303
166,Patti,Punjab,143409
167,Patti,Punjab,143410
168,Patti,Punjab,143412
169,Patti,Punjab,143415
170,Patti,Punjab,143417
171,Amritsar,Punjab,143504
172,Batala,Punjab,143507
173,Gurdaspur,Punjab,143512
174,Batala,Punjab,143513
175,Gurdaspur,Punjab,143528
176,Gurdaspur,Punjab,143533
177,Batala,Punjab,143605
178,Jalandhar,Punjab,144028
179,Hoshiarpur,Punjab,144030
180,Phagwara,Punjab,144033
181,Phagwara,Punjab,144034
182,Nakodar,Punjab,144036
183,Nakodar,Punjab,144039
184,Nakodar,Punjab,144042
185,Nakodar,Punjab,144043
186,Nakodar,Punjab,144044
187,Hoshiarpur,Punjab,144103
188,Jalandhar,Punjab,144104
189,Hoshiarpur,Punjab,144106
190,Jalandhar,Punjab,144201
191,Dasuya,Punjab,144204
192,Dasuya,Punjab,144205
193,Dasuya,Punjab,144207
194,Hoshiarpur,Punjab,144209
195,Hoshiarpur,Punjab,144210
196,Mukerian,Punjab,144211
197,Dasuya,Punjab,144212
198,Mukerian,Punjab,144214
199,Mukerian,Punjab,144216
200,Mukerian,Punjab,144221
201,Jalandhar,Punjab,144303
202,Dasuya,Punjab,144305
203,Mukerian,Punjab,144306
204,Phagwara,Punjab,144311
205,Phagwara,Punjab,144404
206,Phagwara,Punjab,144405
207,Phagwara,Punjab,144407
208,Phagwara,Punjab,144408
209,Phagwara,Punjab,144418
210,Phagwara,Punjab,144502
211,Garhshanker,Punjab,144503
212,Nawanshahr,Punjab,144510
213,Nawanshahr,Punjab,144515
214,Nawanshahr,Punjab,144516
215,Nawanshahr,Punjab,144518
216,Garhshanker,Punjab,144519
217,Garhshanker,Punjab,144520
218,Nawanshahr,Punjab,144521
219,Rupnagar,Punjab,144522
220,Garhshanker,Punjab,144523
221,Garhshanker,Punjab,144524
222,Garhshanker,Punjab,144525
223,Nawanshahr,Punjab,144526
224,Nawanshahr,Punjab,144528
225,Garhshanker,Punjab,144529
226,Garhshanker,Punjab,144530
227,Garhshanker,Punjab,144531
228,Garhshanker,Punjab,144532
229,Kapurthala,Punjab,144625
230,Nakodar,Punjab,144630
231,Nakodar,Punjab,144701
232,Nakodar,Punjab,144702
233,Kapurthala,Punjab,144803
234,Kapurthala,Punjab,144804
235,Pathankot,Punjab,145025
236,Dinanagar,Punjab,145026
237,Dinanagar,Punjab,145027
238,Hoshiarpur,Punjab,146024
239,Hoshiarpur,Punjab,146101
240,Hoshiarpur,Punjab,146103
241,Garhshanker,Punjab,146108
242,Garhshanker,Punjab,146109
243,Hoshiarpur,Punjab,146113
244,Hoshiarpur,Punjab,146114
245,Hoshiarpur,Punjab,146115
246,Hoshiarpur,Punjab,146116
247,Samana,Punjab,147101
248,Patran,Punjab,147102
249,Sirhind-Fategarh,Punjab,147104
250,Patran,Punjab,147105
251,Patiala,Punjab,147111
252,Malerkotla,Punjab,148021
253,Dhuri,Punjab,148025
254,Sangrur,Punjab,148026
255,Sunam,Punjab,148031
256,Patran,Punjab,148033
257,Sunam,Punjab,148035
258,Bhadaur,Punjab,148100
259,Bhadaur,Punjab,148102
260,Barnala,Punjab,148103
261,Barnala,Punjab,148105
262,Sangrur,Punjab,148106
263,Barnala,Punjab,148107
264,Rampura Phul,Punjab,148108
265,Barnala,Punjab,148109
266,Rampura Phul,Punjab,151106
267,Kotkapura,Punjab,151202
268,Kotkapura,Punjab,151205
269,Mandi Dabwali,Haryana,151211
270,Faridkot,Punjab,151212
271,Bathinda,Punjab,151301
272,Bathinda,Punjab,151302
273,Bathinda,Punjab,151401
274,Budhlada,Punjab,151501
275,Mansa,Punjab,151502
276,Budhlada,Punjab,151503
277,Budhlada,Punjab,151504
278,Mansa,Punjab,151505
279,Jhunir,Punjab,151506
280,Ratia,Haryana,151507
281,Mansa,Punjab,151508
282,Bathinda,Punjab,151509
283,Jalalabad,Punjab,152022
284,Firozpur,Punjab,152023
285,Jalalabad,Punjab,152024
286,Muktsar,Punjab,152025
287,Firozpur,Punjab,152028
288,Muktsar,Punjab,152031
289,Muktsar,Punjab,152032
290,Jalalabad,Punjab,152033
291,Malout,Punjab,152113
292,Abohar,Punjab,152117
293,Fazilka,Punjab,152121
294,Fazilka,Punjab,152122
295,Fazilka,Punjab,152123
296,Fazilka,Punjab,152124
297,Abohar,Punjab,152128
298,Abohar,Punjab,152132
299,Shimla,Himachal Pradesh,171012
300,Kala Amb,Himachal Pradesh,173001
301,Paonta Sahib,Himachal Pradesh,173021
302,Paonta Sahib,Himachal Pradesh,173025
303,Kala Amb,Himachal Pradesh,173030
304,Baddi,Himachal Pradesh,173205
305,Solan,Himachal Pradesh,173210
306,Solan,Himachal Pradesh,173211
307,Solan,Himachal Pradesh,173212
308,Solan,Himachal Pradesh,173213
309,Solan,Himachal Pradesh,173214
310,Solan,Himachal Pradesh,173223
311,Solan,Himachal Pradesh,173229
312,Bilaspur-HP,Himachal Pradesh,174001
313,Ghumarwin,Himachal Pradesh,174003
314,Bilaspur-HP,Himachal Pradesh,174004
315,Bilaspur-HP,Himachal Pradesh,174005
316,Bilaspur-HP,Himachal Pradesh,174012
317,Bilaspur-HP,Himachal Pradesh,174013
318,Ghumarwin,Himachal Pradesh,174021
319,Ghumarwin,Himachal Pradesh,174023
320,Ghumarwin,Himachal Pradesh,174024
321,Ghumarwin,Himachal Pradesh,174026
322,Jahu,Himachal Pradesh,174028
323,Ghumarwin,Himachal Pradesh,174029
324,Ghumarwin,Himachal Pradesh,174031
325,Nalagarh,Himachal Pradesh,174101
326,Nalagarh,Himachal Pradesh,174102
327,Una-HP,Himachal Pradesh,174302
328,Una-HP,Himachal Pradesh,174303
329,Bangana,Himachal Pradesh,174304
330,Bangana,Himachal Pradesh,174305
331,Una-HP,Himachal Pradesh,174306
332,Bangana,Himachal Pradesh,174307
333,Bangana,Himachal Pradesh,174308
334,Bangana,Himachal Pradesh,174309
335,Bhota,Himachal Pradesh,174311
336,Bangana,Himachal Pradesh,174312
337,Una-HP,Himachal Pradesh,174315
338,Amb,Himachal Pradesh,174316
339,Una-HP,Himachal Pradesh,174317
340,Bangana,Himachal Pradesh,174320
341,Bangana,Himachal Pradesh,174321
342,Una-HP,Himachal Pradesh,174503
343,Bhota,Himachal Pradesh,174505
344,Mandi,Himachal Pradesh,175001
345,Sundar Nagar,Himachal Pradesh,175002
346,Mandi,Himachal Pradesh,175003
347,Jahu,Himachal Pradesh,175004
348,Mandi,Himachal Pradesh,175005
349,Mandi,Himachal Pradesh,175006
350,Jahu,Himachal Pradesh,175007
351,Mandi,Himachal Pradesh,175008
352,Mandi,Himachal Pradesh,175021
353,Jahu,Himachal Pradesh,175023
354,Sundar Nagar,Himachal Pradesh,175027
355,Bilaspur-HP,Himachal Pradesh,175030
356,Joginder Nagar,Himachal Pradesh,175032
357,Jahu,Himachal Pradesh,175033
358,Mandi,Himachal Pradesh,175036
359,Mandi,Himachal Pradesh,175052
360,Kullu,Himachal Pradesh,175101
361,Kullu,Himachal Pradesh,175102
362,Manali,Himachal Pradesh,175103
363,Mandi,Himachal Pradesh,175124
364,Kullu,Himachal Pradesh,175125
365,Kullu,Himachal Pradesh,175126
366,Manali,Himachal Pradesh,175130
367,Manali,Himachal Pradesh,175131
368,Manali,Himachal Pradesh,175136
369,Kullu,Himachal Pradesh,175138
370,Kangra,Himachal Pradesh,176001
371,Nadaun,Himachal Pradesh,176031
372,Nadaun,Himachal Pradesh,176036
373,Kangra,Himachal Pradesh,176038
374,Bhota,Himachal Pradesh,176041
375,Bhota,Himachal Pradesh,176042
376,Jahu,Himachal Pradesh,176043
377,Jahu,Himachal Pradesh,176044
378,Jahu,Himachal Pradesh,176045
379,Kangra,Himachal Pradesh,176047
380,Jahu,Himachal Pradesh,176048
